date,open,high,low,close,volume
2024-01-02,4000.0,4220.0,3970.0,4200.0,26647200
2024-01-03,4210.0,4320.0,4200.0,4220.0,20209200
2024-01-04,4220.0,4490.0,4220.0,4380.0,25028600
2024-01-05,4390.0,4530.0,4060.0,4470.0,34066700
2024-01-08,4500.0,4770.0,4470.0,4720.0,25773000
2024-01-09,4720.0,4790.0,4650.0,4730.0,18256300
2024-01-10,4730.0,4980.0,4550.0,4800.0,22251800
2024-01-11,4790.0,5100.0,4790.0,5025.0,34246200
2024-01-12,5025.0,5250.0,5000.0,5025.0,18037300
2024-01-15,5050.0,5050.0,4810.0,4940.0,5070000
2024-01-16,4930.0,5175.0,4930.0,5100.0,7505700
2024-01-17,5075.0,5250.0,5025.0,5250.0,8425100
2024-01-18,5250.0,5375.0,5175.0,5350.0,7278100
2024-01-19,5350.0,5525.0,5300.0,5475.0,8958300
2024-01-22,5475.0,5625.0,5350.0,5550.0,8143600
2024-01-23,5575.0,5650.0,5450.0,5575.0,4963100
2024-01-24,5600.0,5900.0,5525.0,5750.0,11301500
2024-01-25,5850.0,5900.0,5625.0,5750.0,6666900
2024-01-26,5775.0,5800.0,5500.0,5625.0,3525400
2024-01-29,5625.0,5750.0,5275.0,5625.0,11443800
2024-01-30,5625.0,5825.0,5625.0,5775.0,10073700
2024-01-31,5825.0,6150.0,5775.0,6025.0,14221700
2024-02-01,6075.0,6250.0,5800.0,5875.0,10417800
2024-02-02,5875.0,5975.0,5650.0,5875.0,5445800
2024-02-05,5875.0,6025.0,5850.0,5875.0,8439200
2024-02-06,5900.0,6075.0,5825.0,5825.0,11816400
2024-02-07,5850.0,5875.0,5350.0,5400.0,6861700
2024-02-12,5400.0,5575.0,5350.0,5450.0,6200900
2024-02-13,5475.0,5675.0,5350.0,5500.0,19531600
2024-02-15,5550.0,5800.0,5475.0,5550.0,34835000
2024-02-16,5575.0,5625.0,5225.0,5350.0,5473000
2024-02-19,5350.0,5400.0,4910.0,4970.0,8777900
2024-02-20,4980.0,5125.0,4760.0,4790.0,11637900
2024-02-21,4790.0,5300.0,4750.0,4820.0,75182496
2024-02-22,4850.0,4960.0,4840.0,4860.0,2532600
2024-02-23,4880.0,4900.0,4400.0,4650.0,5904600
2024-02-26,4670.0,4750.0,4600.0,4620.0,1863100
2024-02-27,4650.0,4650.0,4410.0,4450.0,1600900
2024-02-28,4450.0,4570.0,4390.0,4390.0,1758100
2024-02-29,4390.0,4390.0,4050.0,4080.0,3154700
2024-03-01,4060.0,4480.0,4060.0,4480.0,4788600
2024-03-04,4520.0,4680.0,4430.0,4510.0,3983300
2024-03-05,4530.0,4530.0,4210.0,4210.0,2876200
2024-03-06,4300.0,4330.0,4100.0,4240.0,1764800
2024-03-07,4240.0,4280.0,4140.0,4140.0,2246100
2024-03-08,4140.0,4250.0,4140.0,4250.0,1915100
2024-03-13,4250.0,4600.0,4250.0,4380.0,4892300
2024-03-14,4420.0,4460.0,4250.0,4420.0,2295900
