date,open,high,low,close,volume
2025-03-25,630,650,625,640,6041200
2025-03-26,645,680,645,665,10647800
2025-03-27,670,695,660,690,15151900
2025-04-08,590,610,590,590,22697100
2025-04-09,535,575,530,560,62025000
2025-04-10,595,610,580,600,18899600
2025-04-11,595,625,580,600,17972700
2025-04-14,610,650,610,650,31790700
2025-04-15,650,660,620,620,27135800
2025-04-16,625,630,610,620,10882700
2025-04-17,615,645,615,635,11013700
2025-04-21,640,660,630,640,13427600
2025-04-22,640,695,625,675,42647300
2025-04-23,680,685,660,665,21893200
2025-04-24,665,690,665,665,13205200
2025-04-25,675,705,670,695,15775900
2025-04-28,695,715,680,705,20975600
2025-04-29,705,710,695,705,15401500
2025-04-30,720,725,700,700,32466400
2025-05-02,700,710,680,690,11411300
2025-05-05,670,685,665,670,27415200
2025-05-06,670,695,670,685,30580200
2025-05-07,690,710,680,685,54021500
2025-05-08,690,700,675,675,31410600
2025-05-09,675,690,670,670,10180600
2025-05-14,680,710,680,690,19911300
2025-05-15,690,705,680,680,20459400
2025-05-16,685,695,680,690,17828700
2025-05-19,695,750,695,720,90431600
2025-05-20,720,725,690,690,48851900
2025-05-21,695,710,690,700,35036500
2025-05-22,700,710,690,700,29710200
2025-05-23,700,740,700,740,52273300
2025-05-26,750,780,725,730,87912600
2025-05-27,730,735,710,715,32772200
2025-05-28,720,720,700,700,31278500
2025-06-02,705,705,685,690,31835100
2025-06-03,700,710,685,695,30995000
2025-06-04,695,770,690,735,177466800
2025-06-05,745,745,705,720,71471000
2025-06-10,715,725,705,705,35860100
2025-06-11,710,715,700,710,45923200
2025-06-12,710,715,690,695,49728800
2025-06-13,695,705,690,700,23581000
2025-06-16,710,725,700,705,47058700
2025-06-17,715,725,705,715,35027100
2025-06-18,715,720,695,705,30227300
2025-06-19,710,710,675,685,43168500
2025-06-20,685,685,670,675,40049900
2025-06-23,670,670,640,650,30166300
2025-06-24,660,675,655,660,24316500
2025-06-25,665,670,640,650,19400200
2025-06-26,650,665,650,655,18057100
2025-06-30,640,665,635,660,30981300
2025-07-01,660,685,660,660,24978400
2025-07-02,660,665,645,650,14769100
2025-07-03,650,665,650,655,8119000
2025-07-04,655,675,655,665,12089300
2025-07-07,665,670,655,655,10211100
2025-07-08,660,660,650,655,12940700
2025-07-09,655,660,650,655,15101800
2025-07-10,660,670,650,655,25752600
2025-07-11,655,675,650,655,42550800
2025-07-14,660,665,645,650,24677600
2025-07-15,650,655,645,650,23568700
2025-07-16,650,685,650,675,41591900
2025-07-17,680,685,670,675,21946500
2025-07-18,675,690,670,675,28740200
2025-07-21,680,730,670,705,67765296
2025-07-22,710,720,685,685,51421800
2025-07-23,690,720,685,715,89234200
2025-07-24,720,730,705,710,45238300
2025-07-25,710,715,695,695,20786100
2025-07-28,700,710,700,705,18474300
2025-07-29,715,725,705,720,42946900
2025-07-30,725,725,705,710,25914800
2025-07-31,705,745,700,715,70268304
2025-08-01,765,840,750,815,264317504
2025-08-04,830,1000,830,965,518644288
2025-08-05,975,995,935,950,246441200
2025-08-06,955,980,940,955,100123296
2025-08-07,965,1035,945,1025,197971600
2025-08-08,1025,1025,965,1000,141275008
2025-08-11,1015,1065,1000,1000,118223800
2025-08-12,1000,1010,960,960,66586900
2025-08-13,965,1010,965,995,80796896
2025-08-14,1005,1035,995,1010,67419000
2025-08-15,1010,1015,965,965,47205900
2025-08-19,970,990,955,990,47039700
2025-08-20,990,1000,970,1000,40516500
2025-08-21,1005,1025,970,980,52479800
2025-08-22,980,1005,980,1000,34326400
2025-08-25,1000,1060,1000,1015,96359800
2025-08-26,1020,1025,980,990,52889700
2025-08-27,995,1055,985,1020,101599600
2025-08-28,1030,1095,1015,1095,171108608
2025-08-29,1095,1095,1000,1030,208247392
2025-09-01,980,1020,940,1000,103785504
2025-09-02,1010,1055,1010,1040,57542800
2025-09-03,1045,1085,1040,1065,70895200
2025-09-04,1080,1085,1030,1030,46148600
2025-09-08,1045,1135,1045,1080,163145104
2025-09-09,1100,1170,1075,1140,148299600
2025-09-10,1150,1150,1090,1095,78001800
2025-09-11,1105,1105,1050,1065,51029800
2025-09-12,1065,1100,1055,1090,45698100
2025-09-15,1105,1105,1075,1100,28334000
2025-09-16,1115,1120,1090,1105,53192700
2025-09-17,1115,1125,1085,1090,38835000
2025-09-18,1090,1095,1020,1050,65006200
2025-09-19,1055,1090,1050,1080,66265000
2025-09-22,1090,1095,1060,1060,66597000
2025-09-23,1075,1115,1065,1110,71255000
2025-09-24,1120,1150,1090,1135,85150600
2025-09-25,1140,1235,1125,1180,224363696
2025-09-26,1190,1215,1165,1180,79500200
2025-09-29,1190,1210,1165,1170,49344900
2025-09-30,1175,1210,1175,1190,62574800
2025-10-01,1200,1200,1140,1165,49740800
2025-10-02,1170,1180,1135,1140,36577400
2025-10-03,1145,1170,1100,1150,36667900
2025-10-06,1155,1190,1155,1160,19963900
